Time,House,School,Health_center,Mosque,Water_pump
20130105:2107,0.26,0.15,0.15,0.1,0.14
20130105:2207,0.162,0.15,0.15,0.1,0.14
20130105:2307,0.11,0.15,0.15,0.1,0.14
20130106:0007,0.059,0.15,0.15,0.1,0.14
20130106:0107,0.051,0.15,0.15,0.1,0.14
20130106:0207,0.051,0.15,0.15,0.1,0.14
20130106:0307,0.051,0.15,0.15,0.1,0.29
20130106:0407,0.177,0.15,0.15,0.85,0.43
20130106:0507,0.271,0.15,0.15,0.85,0.57
20130106:0607,0.298,0.46,0.46,0.5,0.71
20130106:0707,0.271,0.92,0.92,0.1,0.86
20130106:0807,0.227,0.92,0.92,0.1,1
20130106:0907,0.233,1,1,0.1,1
20130106:1007,0.268,1,1,0.1,1
20130106:1107,0.288,1,1,1,0.86
20130106:1207,0.374,1,1,1,0.71
20130106:1307,0.281,1,1,1,0.71
20130106:1407,0.226,1,1,0.5,0.86
20130106:1507,0.215,1,1,1,0.86
20130106:1607,0.221,0.85,0.85,1,1
20130106:1707,0.356,0.31,0.31,0.5,1
20130106:1807,0.667,0.15,0.15,1,0.71
20130106:1907,0.543,0.15,0.15,1,0.57
20130106:2007,0.366,0.15,0.15,0.1,0.29
20130106:2107,0.26,0.15,0.15,0.1,0.14
20130106:2207,0.162,0.15,0.15,0.1,0.14
20130106:2307,0.11,0.15,0.15,0.1,0.14
20130107:0007,0.059,0.15,0.15,0.1,0.14
20130107:0107,0.051,0.15,0.15,0.1,0.14
20130107:0207,0.051,0.15,0.15,0.1,0.14
20130107:0307,0.051,0.15,0.15,0.1,0.29
20130107:0407,0.177,0.15,0.15,0.85,0.43
20130107:0507,0.271,0.15,0.15,0.85,0.57
20130107:0607,0.298,0.46,0.46,0.5,0.71
20130107:0707,0.271,0.92,0.92,0.1,0.86
20130107:0807,0.227,0.92,0.92,0.1,1
20130107:0907,0.233,1,1,0.1,1
20130107:1007,0.268,1,1,0.1,1
20130107:1107,0.288,1,1,1,0.86
20130107:1207,0.374,1,1,1,0.71
20130107:1307,0.281,1,1,1,0.71
20130107:1407,0.226,1,1,0.5,0.86
20130107:1507,0.215,1,1,1,0.86
20130107:1607,0.221,0.85,0.85,1,1
20130107:1707,0.356,0.31,0.31,0.5,1
20130107:1807,0.667,0.15,0.15,1,0.71
20130107:1907,0.543,0.15,0.15,1,0.57
20130107:2007,0.366,0.15,0.15,0.1,0.29
20130107:2107,0.26,0.15,0.15,0.1,0.14
20130107:2207,0.162,0.15,0.15,0.1,0.14
20130107:2307,0.11,0.15,0.15,0.1,0.14
20130108:0007,0.059,0.15,0.15,0.1,0.14
20130108:0107,0.051,0.15,0.15,0.1,0.14
20130108:0207,0.051,0.15,0.15,0.1,0.14
20130108:0307,0.051,0.15,0.15,0.1,0.29
20130108:0407,0.177,0.15,0.15,0.85,0.43
20130108:0507,0.271,0.15,0.15,0.85,0.57
20130108:0607,0.298,0.46,0.46,0.5,0.71
20130108:0707,0.271,0.92,0.92,0.1,0.86
20130108:0807,0.227,0.92,0.92,0.1,1
20130108:0907,0.233,1,1,0.1,1
20130108:1007,0.268,1,1,0.1,1
20130108:1107,0.288,1,1,1,0.86
20130108:1207,0.374,1,1,1,0.71
20130108:1307,0.281,1,1,1,0.71
20130108:1407,0.226,1,1,0.5,0.86
20130108:1507,0.215,1,1,1,0.86
20130108:1607,0.221,0.85,0.85,1,1
20130108:1707,0.356,0.31,0.31,0.5,1
20130108:1807,0.667,0.15,0.15,1,0.71
20130108:1907,0.543,0.15,0.15,1,0.57
20130108:2007,0.366,0.15,0.15,0.1,0.29
20130108:2107,0.26,0.15,0.15,0.1,0.14
20130108:2207,0.162,0.15,0.15,0.1,0.14
20130108:2307,0.11,0.15,0.15,0.1,0.14
20130109:0007,0.059,0.15,0.15,0.1,0.14
20130109:0107,0.051,0.15,0.15,0.1,0.14
20130109:0207,0.051,0.15,0.15,0.1,0.14
20130109:0307,0.051,0.15,0.15,0.1,0.29
20130109:0407,0.177,0.15,0.15,0.85,0.43
20130109:0507,0.271,0.15,0.15,0.85,0.57
20130109:0607,0.298,0.46,0.46,0.5,0.71
20130109:0707,0.271,0.92,0.92,0.1,0.86
20130109:0807,0.227,0.92,0.92,0.1,1
20130109:0907,0.233,1,1,0.1,1
20130109:1007,0.268,1,1,0.1,1
20130109:1107,0.288,1,1,1,0.86
20130109:1207,0.374,1,1,1,0.71
20130109:1307,0.281,1,1,1,0.71
20130109:1407,0.226,1,1,0.5,0.86
20130109:1507,0.215,1,1,1,0.86
20130109:1607,0.221,0.85,0.85,1,1
20130109:1707,0.356,0.31,0.31,0.5,1
20130109:1807,0.667,0.15,0.15,1,0.71
20130109:1907,0.543,0.15,0.15,1,0.57
20130109:2007,0.366,0.15,0.15,0.1,0.29
20130109:2107,0.26,0.15,0.15,0.1,0.14
20130109:2207,0.162,0.15,0.15,0.1,0.14
20130109:2307,0.11,0.15,0.15,0.1,0.14
20130110:0007,0.059,0.15,0.15,0.1,0.14
20130110:0107,0.051,0.15,0.15,0.1,0.14
20130110:0207,0.051,0.15,0.15,0.1,0.14
20130110:0307,0.051,0.15,0.15,0.1,0.29
20130110:0407,0.177,0.15,0.15,0.85,0.43
20130110:0507,0.271,0.15,0.15,0.85,0.57
20130110:0607,0.298,0.46,0.46,0.5,0.71
20130110:0707,0.271,0.92,0.92,0.1,0.86
20130110:0807,0.227,0.92,0.92,0.1,1
20130110:0907,0.233,1,1,0.1,1
20130110:1007,0.268,1,1,0.1,1
20130110:1107,0.288,1,1,1,0.86
20130110:1207,0.374,1,1,1,0.71
20130110:1307,0.281,1,1,1,0.71
20130110:1407,0.226,1,1,0.5,0.86
20130110:1507,0.215,1,1,1,0.86
20130110:1607,0.221,0.85,0.85,1,1
20130110:1707,0.356,0.31,0.31,0.5,1
20130110:1807,0.667,0.15,0.15,1,0.71
20130110:1907,0.543,0.15,0.15,1,0.57
20130110:2007,0.366,0.15,0.15,0.1,0.29
20130110:2107,0.26,0.15,0.15,0.1,0.14
20130110:2207,0.162,0.15,0.15,0.1,0.14
20130110:2307,0.11,0.15,0.15,0.1,0.14
20130111:0007,0.059,0.15,0.15,0.1,0.14
20130111:0107,0.051,0.15,0.15,0.1,0.14
20130111:0207,0.051,0.15,0.15,0.1,0.14
20130111:0307,0.051,0.15,0.15,0.1,0.29
20130111:0407,0.177,0.15,0.15,0.85,0.43
20130111:0507,0.271,0.15,0.15,0.85,0.57
20130111:0607,0.298,0.46,0.46,0.5,0.71
20130111:0707,0.271,0.92,0.92,0.1,0.86
20130111:0807,0.227,0.92,0.92,0.1,1
20130111:0907,0.233,1,1,0.1,1
20130111:1007,0.268,1,1,0.1,1
20130111:1107,0.288,1,1,1,0.86
20130111:1207,0.374,1,1,1,0.71
20130111:1307,0.281,1,1,1,0.71
20130111:1407,0.226,1,1,0.5,0.86
20130111:1507,0.215,1,1,1,0.86
20130111:1607,0.221,0.85,0.85,1,1
20130111:1707,0.356,0.31,0.31,0.5,1
20130111:1807,0.667,0.15,0.15,1,0.71
20130111:1907,0.543,0.15,0.15,1,0.57
20130111:2007,0.366,0.15,0.15,0.1,0.29
20130111:2107,0.26,0.15,0.15,0.1,0.14
20130111:2207,0.162,0.15,0.15,0.1,0.14
20130111:2307,0.11,0.15,0.15,0.1,0.14
20130112:0007,0.059,0.15,0.15,0.1,0.14
20130112:0107,0.051,0.15,0.15,0.1,0.14
20130112:0207,0.051,0.15,0.15,0.1,0.14
20130112:0307,0.051,0.15,0.15,0.1,0.29
20130112:0407,0.177,0.15,0.15,0.85,0.43
20130112:0507,0.271,0.15,0.15,0.85,0.57
20130112:0607,0.298,0.46,0.46,0.5,0.71
20130112:0707,0.271,0.92,0.92,0.1,0.86
20130112:0807,0.227,0.92,0.92,0.1,1
20130112:0907,0.233,1,1,0.1,1
20130112:1007,0.268,1,1,0.1,1
20130112:1107,0.288,1,1,1,0.86
20130112:1207,0.374,1,1,1,0.71
20130112:1307,0.281,1,1,1,0.71
20130112:1407,0.226,1,1,0.5,0.86
20130112:1507,0.215,1,1,1,0.86
20130112:1607,0.221,0.85,0.85,1,1
20130112:1707,0.356,0.31,0.31,0.5,1
20130112:1807,0.667,0.15,0.15,1,0.71
20130112:1907,0.543,0.15,0.15,1,0.57
20130112:2007,0.366,0.15,0.15,0.1,0.29
20130112:2107,0.26,0.15,0.15,0.1,0.14
20130112:2207,0.162,0.15,0.15,0.1,0.14
20130112:2307,0.11,0.15,0.15,0.1,0.14
20130113:0007,0.059,0.15,0.15,0.1,0.14
20130113:0107,0.051,0.15,0.15,0.1,0.14
20130113:0207,0.051,0.15,0.15,0.1,0.14
20130113:0307,0.051,0.15,0.15,0.1,0.29
20130113:0407,0.177,0.15,0.15,0.85,0.43
20130113:0507,0.271,0.15,0.15,0.85,0.57
20130113:0607,0.298,0.46,0.46,0.5,0.71
20130113:0707,0.271,0.92,0.92,0.1,0.86
20130113:0807,0.227,0.92,0.92,0.1,1
20130113:0907,0.233,1,1,0.1,1
20130113:1007,0.268,1,1,0.1,1
20130113:1107,0.288,1,1,1,0.86
20130113:1207,0.374,1,1,1,0.71
20130113:1307,0.281,1,1,1,0.71
20130113:1407,0.226,1,1,0.5,0.86
20130113:1507,0.215,1,1,1,0.86
20130113:1607,0.221,0.85,0.85,1,1
20130113:1707,0.356,0.31,0.31,0.5,1
20130113:1807,0.667,0.15,0.15,1,0.71
20130113:1907,0.543,0.15,0.15,1,0.57
20130113:2007,0.366,0.15,0.15,0.1,0.29
20130113:2107,0.26,0.15,0.15,0.1,0.14
20130113:2207,0.162,0.15,0.15,0.1,0.14
20130113:2307,0.11,0.15,0.15,0.1,0.14
20130114:0007,0.059,0.15,0.15,0.1,0.14
20130114:0107,0.051,0.15,0.15,0.1,0.14
20130114:0207,0.051,0.15,0.15,0.1,0.14
20130114:0307,0.051,0.15,0.15,0.1,0.29
20130114:0407,0.177,0.15,0.15,0.85,0.43
20130114:0507,0.271,0.15,0.15,0.85,0.57
20130114:0607,0.298,0.46,0.46,0.5,0.71
20130114:0707,0.271,0.92,0.92,0.1,0.86
20130114:0807,0.227,0.92,0.92,0.1,1
20130114:0907,0.233,1,1,0.1,1
20130114:1007,0.268,1,1,0.1,1
20130114:1107,0.288,1,1,1,0.86
20130114:1207,0.374,1,1,1,0.71
20130114:1307,0.281,1,1,1,0.71
20130114:1407,0.226,1,1,0.5,0.86
20130114:1507,0.215,1,1,1,0.86
20130114:1607,0.221,0.85,0.85,1,1
20130114:1707,0.356,0.31,0.31,0.5,1
20130114:1807,0.667,0.15,0.15,1,0.71
20130114:1907,0.543,0.15,0.15,1,0.57
20130114:2007,0.366,0.15,0.15,0.1,0.29
20130114:2107,0.26,0.15,0.15,0.1,0.14
20130114:2207,0.162,0.15,0.15,0.1,0.14
20130114:2307,0.11,0.15,0.15,0.1,0.14
20130115:0007,0.059,0.15,0.15,0.1,0.14
20130115:0107,0.051,0.15,0.15,0.1,0.14
20130115:0207,0.051,0.15,0.15,0.1,0.14
20130115:0307,0.051,0.15,0.15,0.1,0.29
20130115:0407,0.177,0.15,0.15,0.85,0.43
20130115:0507,0.271,0.15,0.15,0.85,0.57
20130115:0607,0.298,0.46,0.46,0.5,0.71
20130115:0707,0.271,0.92,0.92,0.1,0.86
20130115:0807,0.227,0.92,0.92,0.1,1
20130115:0907,0.233,1,1,0.1,1
20130115:1007,0.268,1,1,0.1,1
20130115:1107,0.288,1,1,1,0.86
20130115:1207,0.374,1,1,1,0.71
20130115:1307,0.281,1,1,1,0.71
20130115:1407,0.226,1,1,0.5,0.86
20130115:1507,0.215,1,1,1,0.86
20130115:1607,0.221,0.85,0.85,1,1
20130115:1707,0.356,0.31,0.31,0.5,1
20130115:1807,0.667,0.15,0.15,1,0.71
20130115:1907,0.543,0.15,0.15,1,0.57
20130115:2007,0.366,0.15,0.15,0.1,0.29
20130115:2107,0.26,0.15,0.15,0.1,0.14
20130115:2207,0.162,0.15,0.15,0.1,0.14
20130115:2307,0.11,0.15,0.15,0.1,0.14
20130116:0007,0.059,0.15,0.15,0.1,0.14
20130116:0107,0.051,0.15,0.15,0.1,0.14
20130116:0207,0.051,0.15,0.15,0.1,0.14
20130116:0307,0.051,0.15,0.15,0.1,0.29
20130116:0407,0.177,0.15,0.15,0.85,0.43
20130116:0507,0.271,0.15,0.15,0.85,0.57
20130116:0607,0.298,0.46,0.46,0.5,0.71
20130116:0707,0.271,0.92,0.92,0.1,0.86
20130116:0807,0.227,0.92,0.92,0.1,1
20130116:0907,0.233,1,1,0.1,1
20130116:1007,0.268,1,1,0.1,1
20130116:1107,0.288,1,1,1,0.86
20130116:1207,0.374,1,1,1,0.71
20130116:1307,0.281,1,1,1,0.71
20130116:1407,0.226,1,1,0.5,0.86
20130116:1507,0.215,1,1,1,0.86
20130116:1607,0.221,0.85,0.85,1,1
20130116:1707,0.356,0.31,0.31,0.5,1
20130116:1807,0.667,0.15,0.15,1,0.71
20130116:1907,0.543,0.15,0.15,1,0.57
20130116:2007,0.366,0.15,0.15,0.1,0.29
20130116:2107,0.26,0.15,0.15,0.1,0.14
20130116:2207,0.162,0.15,0.15,0.1,0.14
20130116:2307,0.11,0.15,0.15,0.1,0.14
20130117:0007,0.059,0.15,0.15,0.1,0.14
20130117:0107,0.051,0.15,0.15,0.1,0.14
20130117:0207,0.051,0.15,0.15,0.1,0.14
20130117:0307,0.051,0.15,0.15,0.1,0.29
20130117:0407,0.177,0.15,0.15,0.85,0.43
20130117:0507,0.271,0.15,0.15,0.85,0.57
20130117:0607,0.298,0.46,0.46,0.5,0.71
20130117:0707,0.271,0.92,0.92,0.1,0.86
20130117:0807,0.227,0.92,0.92,0.1,1
20130117:0907,0.233,1,1,0.1,1
20130117:1007,0.268,1,1,0.1,1
20130117:1107,0.288,1,1,1,0.86
20130117:1207,0.374,1,1,1,0.71
20130117:1307,0.281,1,1,1,0.71
20130117:1407,0.226,1,1,0.5,0.86
20130117:1507,0.215,1,1,1,0.86
20130117:1607,0.221,0.85,0.85,1,1
20130117:1707,0.356,0.31,0.31,0.5,1
20130117:1807,0.667,0.15,0.15,1,0.71
20130117:1907,0.543,0.15,0.15,1,0.57
20130117:2007,0.366,0.15,0.15,0.1,0.29
20130117:2107,0.26,0.15,0.15,0.1,0.14
20130117:2207,0.162,0.15,0.15,0.1,0.14
20130117:2307,0.11,0.15,0.15,0.1,0.14
20130118:0007,0.059,0.15,0.15,0.1,0.14
20130118:0107,0.051,0.15,0.15,0.1,0.14
20130118:0207,0.051,0.15,0.15,0.1,0.14
20130118:0307,0.051,0.15,0.15,0.1,0.29
20130118:0407,0.177,0.15,0.15,0.85,0.43
20130118:0507,0.271,0.15,0.15,0.85,0.57
20130118:0607,0.298,0.46,0.46,0.5,0.71
20130118:0707,0.271,0.92,0.92,0.1,0.86
20130118:0807,0.227,0.92,0.92,0.1,1
20130118:0907,0.233,1,1,0.1,1
20130118:1007,0.268,1,1,0.1,1
20130118:1107,0.288,1,1,1,0.86
20130118:1207,0.374,1,1,1,0.71
20130118:1307,0.281,1,1,1,0.71
20130118:1407,0.226,1,1,0.5,0.86
20130118:1507,0.215,1,1,1,0.86
20130118:1607,0.221,0.85,0.85,1,1
20130118:1707,0.356,0.31,0.31,0.5,1
20130118:1807,0.667,0.15,0.15,1,0.71
20130118:1907,0.543,0.15,0.15,1,0.57
20130118:2007,0.366,0.15,0.15,0.1,0.29
20130118:2107,0.26,0.15,0.15,0.1,0.14
20130118:2207,0.162,0.15,0.15,0.1,0.14
20130118:2307,0.11,0.15,0.15,0.1,0.14
20130119:0007,0.059,0.15,0.15,0.1,0.14
20130119:0107,0.051,0.15,0.15,0.1,0.14
20130119:0207,0.051,0.15,0.15,0.1,0.14
20130119:0307,0.051,0.15,0.15,0.1,0.29
20130119:0407,0.177,0.15,0.15,0.85,0.43
20130119:0507,0.271,0.15,0.15,0.85,0.57
20130119:0607,0.298,0.46,0.46,0.5,0.71
20130119:0707,0.271,0.92,0.92,0.1,0.86
20130119:0807,0.227,0.92,0.92,0.1,1
20130119:0907,0.233,1,1,0.1,1
20130119:1007,0.268,1,1,0.1,1
20130119:1107,0.288,1,1,1,0.86
20130119:1207,0.374,1,1,1,0.71
20130119:1307,0.281,1,1,1,0.71
20130119:1407,0.226,1,1,0.5,0.86
20130119:1507,0.215,1,1,1,0.86
20130119:1607,0.221,0.85,0.85,1,1
20130119:1707,0.356,0.31,0.31,0.5,1
20130119:1807,0.667,0.15,0.15,1,0.71
20130119:1907,0.543,0.15,0.15,1,0.57
20130119:2007,0.366,0.15,0.15,0.1,0.29
20130119:2107,0.26,0.15,0.15,0.1,0.14
20130119:2207,0.162,0.15,0.15,0.1,0.14
20130119:2307,0.11,0.15,0.15,0.1,0.14
20130120:0007,0.059,0.15,0.15,0.1,0.14
20130120:0107,0.051,0.15,0.15,0.1,0.14
20130120:0207,0.051,0.15,0.15,0.1,0.14
20130120:0307,0.051,0.15,0.15,0.1,0.29
20130120:0407,0.177,0.15,0.15,0.85,0.43
20130120:0507,0.271,0.15,0.15,0.85,0.57
20130120:0607,0.298,0.46,0.46,0.5,0.71
20130120:0707,0.271,0.92,0.92,0.1,0.86
20130120:0807,0.227,0.92,0.92,0.1,1
20130120:0907,0.233,1,1,0.1,1
20130120:1007,0.268,1,1,0.1,1
20130120:1107,0.288,1,1,1,0.86
20130120:1207,0.374,1,1,1,0.71
20130120:1307,0.281,1,1,1,0.71
20130120:1407,0.226,1,1,0.5,0.86
20130120:1507,0.215,1,1,1,0.86
20130120:1607,0.221,0.85,0.85,1,1
20130120:1707,0.356,0.31,0.31,0.5,1
20130120:1807,0.667,0.15,0.15,1,0.71
20130120:1907,0.543,0.15,0.15,1,0.57
20130120:2007,0.366,0.15,0.15,0.1,0.29
20130120:2107,0.26,0.15,0.15,0.1,0.14
20130120:2207,0.162,0.15,0.15,0.1,0.14
20130120:2307,0.11,0.15,0.15,0.1,0.14
20130121:0007,0.059,0.15,0.15,0.1,0.14
20130121:0107,0.051,0.15,0.15,0.1,0.14
20130121:0207,0.051,0.15,0.15,0.1,0.14
20130121:0307,0.051,0.15,0.15,0.1,0.29
20130121:0407,0.177,0.15,0.15,0.85,0.43
20130121:0507,0.271,0.15,0.15,0.85,0.57
20130121:0607,0.298,0.46,0.46,0.5,0.71
20130121:0707,0.271,0.92,0.92,0.1,0.86
20130121:0807,0.227,0.92,0.92,0.1,1
20130121:0907,0.233,1,1,0.1,1
20130121:1007,0.268,1,1,0.1,1
20130121:1107,0.288,1,1,1,0.86
20130121:1207,0.374,1,1,1,0.71
20130121:1307,0.281,1,1,1,0.71
20130121:1407,0.226,1,1,0.5,0.86
20130121:1507,0.215,1,1,1,0.86
20130121:1607,0.221,0.85,0.85,1,1
20130121:1707,0.356,0.31,0.31,0.5,1
20130121:1807,0.667,0.15,0.15,1,0.71
20130121:1907,0.543,0.15,0.15,1,0.57
20130121:2007,0.366,0.15,0.15,0.1,0.29
20130121:2107,0.26,0.15,0.15,0.1,0.14
20130121:2207,0.162,0.15,0.15,0.1,0.14
20130121:2307,0.11,0.15,0.15,0.1,0.14
20130122:0007,0.059,0.15,0.15,0.1,0.14
20130122:0107,0.051,0.15,0.15,0.1,0.14
20130122:0207,0.051,0.15,0.15,0.1,0.14
20130122:0307,0.051,0.15,0.15,0.1,0.29
20130122:0407,0.177,0.15,0.15,0.85,0.43
20130122:0507,0.271,0.15,0.15,0.85,0.57
20130122:0607,0.298,0.46,0.46,0.5,0.71
20130122:0707,0.271,0.92,0.92,0.1,0.86
20130122:0807,0.227,0.92,0.92,0.1,1
20130122:0907,0.233,1,1,0.1,1
20130122:1007,0.268,1,1,0.1,1
20130122:1107,0.288,1,1,1,0.86
20130122:1207,0.374,1,1,1,0.71
20130122:1307,0.281,1,1,1,0.71
20130122:1407,0.226,1,1,0.5,0.86
20130122:1507,0.215,1,1,1,0.86
20130122:1607,0.221,0.85,0.85,1,1
20130122:1707,0.356,0.31,0.31,0.5,1
20130122:1807,0.667,0.15,0.15,1,0.71
20130122:1907,0.543,0.15,0.15,1,0.57
20130122:2007,0.366,0.15,0.15,0.1,0.29
20130122:2107,0.26,0.15,0.15,0.1,0.14
20130122:2207,0.162,0.15,0.15,0.1,0.14
20130122:2307,0.11,0.15,0.15,0.1,0.14
20130123:0007,0.059,0.15,0.15,0.1,0.14
20130123:0107,0.051,0.15,0.15,0.1,0.14
20130123:0207,0.051,0.15,0.15,0.1,0.14
20130123:0307,0.051,0.15,0.15,0.1,0.29
20130123:0407,0.177,0.15,0.15,0.85,0.43
20130123:0507,0.271,0.15,0.15,0.85,0.57
20130123:0607,0.298,0.46,0.46,0.5,0.71
20130123:0707,0.271,0.92,0.92,0.1,0.86
20130123:0807,0.227,0.92,0.92,0.1,1
20130123:0907,0.233,1,1,0.1,1
20130123:1007,0.268,1,1,0.1,1
20130123:1107,0.288,1,1,1,0.86
20130123:1207,0.374,1,1,1,0.71
20130123:1307,0.281,1,1,1,0.71
20130123:1407,0.226,1,1,0.5,0.86
20130123:1507,0.215,1,1,1,0.86
20130123:1607,0.221,0.85,0.85,1,1
20130123:1707,0.356,0.31,0.31,0.5,1
20130123:1807,0.667,0.15,0.15,1,0.71
20130123:1907,0.543,0.15,0.15,1,0.57
20130123:2007,0.366,0.15,0.15,0.1,0.29
20130123:2107,0.26,0.15,0.15,0.1,0.14
20130123:2207,0.162,0.15,0.15,0.1,0.14
20130123:2307,0.11,0.15,0.15,0.1,0.14
20130124:0007,0.059,0.15,0.15,0.1,0.14
20130124:0107,0.051,0.15,0.15,0.1,0.14
20130124:0207,0.051,0.15,0.15,0.1,0.14
20130124:0307,0.051,0.15,0.15,0.1,0.29
20130124:0407,0.177,0.15,0.15,0.85,0.43
20130124:0507,0.271,0.15,0.15,0.85,0.57
20130124:0607,0.298,0.46,0.46,0.5,0.71
20130124:0707,0.271,0.92,0.92,0.1,0.86
20130124:0807,0.227,0.92,0.92,0.1,1
